Access card	varies	<p>An access card is a small strip of stiff plastic with a color-coded stripe on one side. Some access cards are further decorated with names or titles written in Androffan, or even photographs of long-dead crew members. An access card functions as a key—when swiped through an electronic lock (a move action), an access card unlocks any lock of its color code or a color code of a lower rating. Although access cards do not consume energy themselves, they work in only electronic locks that currently have power. Among certain societies, access cards are also used as decorations, worn as affectations, and incorporated into ceremonial regalia.</p><p>Access cards must be encoded to specific locks before they can function. Often, all of the doors in a complex are keyed to a unique set of cards that don't work on doors found in other complexes, much like a skeleton key might open all the doors in one castle but none in another. Coding an access card for specific locks requires a lock coder. Some access cards could be worth far more than the prices listed above if they're specifically encoded to locks that protect more valuable or significant contents.</p><p>Craft Technological Item, production lab</p>	
Battery	100 gp	"<p>Most technological items are powered by electricity. While one can use the electricity provided by a generator, these are rare, expensive, and rarely portable. It's more common and practical to charge such items with batteries. A battery looks like a small silver disk that's etched with strange lines—some people have taken to calling batteries ""silverdisks"" and sometimes use them as coins. A battery contains 10 charges when full; to charge an item with a battery, one simply slips the disk-shaped device into the proper slot on the item. The battery's charge instantly fully depletes, and the item's internal capacitors fill with 10 charges as it does so. If the item had fewer than 10 open slots in its capacity, the excess charges the battery once held are lost. A battery can be kept within an object indefinitely, or it can be ejected from the object for the purposes of recharging it or storing it elsewhere without affecting the item's charge. Inserting or ejecting a battery is a move action.</p><p>Placing a battery in a generator's charging slot can recharge it. However, each time a battery is recharged, there's a 20% chance that the battery is destroyed in the process. A destroyed battery is worth only 10 gp. The bulk of ""silverdisks"" in circulation today are destroyed batteries; one can tell a functional battery from a destroyed one by the way the circuitry seems to shimmer slightly when reflecting light. The circuitry in a charged battery glows with a soft blue radiance equal to that of a candle.</p>"	Craft DC 25; Cost 50 gp, craft technological item, production lab
Camera	3000 gp	<p>This handheld device can capture still photographs or record video. The device uses a charge when activated and consumes an additional charge each hour; during that hour, individual photographs or video recordings do not consume additional charges. Images and videos captured by a camera can be displayed on the camera's palm-sized screen. A camera can hold up to 20 hours of video footage and 200 photographs.</p>	Craft DC 25; Cost 1,500 gp, craft technological item, production lab
Chemalyzer	2500 gp	<p>A chemalyzer is a handheld unit with an extendable wand tipped with a sampling nozzle. It grants a +5 competence bonus on all Craft (alchemy) or Knowledge (engineering) checks to identify an unknown pharmaceutical, poison, chemical, or substance. It cannot aid in the identification of magical effects or items like potions.</p>	Craft DC 25; Cost 1,250 gp, craft technological item, production lab
Chipfinder	varies	<p>A chipfinder is a handheld device fitted with a circular screen. When a chipfinder is activated, all active tracker chips within a certain radius appear as glowing dots on the screen, indicating the direction and approximate distance to each installed tracker chip, as well identification number for each chip. The screen can filter out unwanted data to make it easier to track a specific chip. Chipfinders are color-coded items; the higher the chipfinder's color rating, the longer its range. This range is a signal, and can be enhanced by a signal booster or blocked by a solid enough barrier.</p><p>Craft Technological Item, production lab</p>	
Clonepod	60000 gp	<p>A clonepod looks like a human-sized capsule with a blue window at head height and a bank of touch-sensitive screens and buttons at chest height. A small slot situated below the window can accept genetic material (fingernails, hair clippings, skin samples, and so forth). When genetic material is placed in the slot, the clonepod immediately atomizes the sample and processes the genetic information. At this point, activating the clonepod causes its interior to flood with blue biotic fluid, which is then supersaturated with a combination of proteins, nanites, and other materials. Over the course of the next 12 hours, the clonepod works nonstop to produce an exact replica of the creature from which the genetic material was harvested, as the creature was when the sample was taken. A clonepod can only duplicate a Medium or smaller creature—attempts to clone a larger creature result in a hideous, partially formed monstrosity that heaves and gasps a few times before dying.</p><p>The completed clone can remain in stasis inside the pod indefinitely as long as the seals are not broken. The clone created is alive, yet has no mind until a neurocam is used to upload a mind into the clone's brain. A clone has the same Strength, Dexterity, and Constitution scores of the original body. A clone that is awoken before any mind is uploaded into it has no Intelligence score, and its Wisdom and Charisma scores are both 1.</p><p>Uploading a mind from a neurocam into a clone takes 10 minutes. If the mind belonged to the same creature that was used to grow the clone, it immediately comes back to life as if under the effects of a <i>clone</i> spell (including 2 negative levels or 2 points of Constitution drain)—provided the user's soul has not yet passed to the Boneyard and been judged.  It possesses the same Intelligence, Wisdom, and Charisma of the original mind, all of that creature's skills, and most of the memories and personality of the creature (though there may be gaps or differences). A mind uploaded into a clone after its soul has been judged results in a soulless approximation of the original. Such a creature has its Charisma permanently reduced by 2 points (which cannot be restored), and has no ability to grow more powerful or gain levels (similar to a <i>simulacrum</i>).</p><p>If the clone's body and mind are not from the same source, all six ability scores are permanently reduced by 2 points.</p>	Craft DC 25; Cost 30,000 gp, craft technological item, nanotech lab
Commset	6000 gp	<p>This handheld device allows for communication between two commset users. A commset carries audio and visual signals, and includes a built-in camera that can record all communications being broadcast. Communication between two commsets requires both users to tune their individual devices to the same frequency. A commset has a range of 1 mile—beyond this range, communication is impossible without enhancing the signal strength with a signal booster. The price and cost listed for this item are for a single commset.</p>	Craft DC 27; Cost 3,000 gp, craft technological item, production lab
Cortex gun	varies	<p>A cortex gun is an incredibly powerful device filled with nanites programmed for physical and mental enhancement. The gun is shaped like a hefty syringe with a handle and a small touch screen on which parameters can be programmed and adjusted to focus the nanites on a specific ability to augment. It can be programmed to enhance a Strength, Dexterity, Constitution, Intelligence, Wisdom, or Charisma score. Setting a cortex gun to affect one of these six abilities requires a character with the Technologist feat succeeding at a DC 20 Linguistics check. On a failure, the programming is scrambled and nonfunctional until properly set. When a cortex gun is found as treasure, roll 1d8 to determine which ability score it's programmed to, with a result of 7-8 indicating that it's currently scrambled.</p><p>A cortex gun is used by placing the tip against the target's forehead and pulling the trigger as a full-round action that provokes attacks of opportunity. This causes an adamantine needle to bore into the skull; the target must then succeed at a DC 25 Will saving throw to resist being stunned for 2d6 rounds. On a success, he's merely staggered for 1d4 rounds. If the cortex gun's programming was scrambled, the nanites die without doing any harm or aid to the target.</p><p>If the cortex gun was properly programmed to one of the six ability scores, the nanites swiftly disperse through the user's body, enhancing and augmenting that ability score over the course of several days. These augmentations are inherent bonuses, and increase the ability score by 1 every 24 hours that pass until the cortex gun's maximum bonus is reached.</p><p>A cortex gun can only function on living corporeal creatures, but a living creature with a bonus granted by a cortex gun that dies and becomes undead retains that bonus in undeath.</p><p>A cortex gun can only be used once before it becomes useless. The final total inherent bonus granted by the cortex gun, as well as its price, cost to create, and Craft DC are as follows.</p>	
Cylex	3600 gp	<p>Cylex is an exceptionally stable form of explosive that can be shaped at room temperature, like soft clay. Neon green in color, a single charge of cylex can be triggered to explode by using a detonator (see below) or applying 10 or more points of electricity damage to it in a single action. When detonated, a single use of cylex explodes in a 40-foot-radius spread and deals 6d6 points of bludgeoning damage and 6d6 points of fire damage to all creatures and objects in the area of effect. A successful DC 17 Reflex saving throw halves the damage.</p>	Craft DC 26; Cost 1,800 gp, craft technological arms and armor, military lab
Detonator	500 gp	<p>A detonator is a small device that can be used to trigger cranial bombs, cylex, and other explosives remotely. While an explosive is being set, the user can key the explosive to a detonator with a standard action that costs the detonator one charge. Once the explosive is keyed, as a standard action the user can push a button to trigger the explosive. A typical detonator has a range of 1,000 feet—though some may have a reduced range (intentionally or otherwise) and others might be enhanced by a signal booster.</p>	Craft DC 23; Cost 250 gp, craft technological item, military lab
