Type	Subtype	Name	Price	Armor/Shield  Bonus	Max Dex Bonus	Armor Check Penalty	Arcane Spell Failure Chance	Speed  30 ft.	Speed  20 ft.	Weight	Capacity	Usage	Construction	Description
Armor	Light	Chameleon suit	15000 gp	2	6	0	10	30	20	5	50	1 charge/minute	Craft DC 29; Cost 7,500 gp, craft technological arms and armor, military lab	<p>This suit of light woven-fiber armor covers the wearer from ankle to wrist and includes a hooded cowl. Its surface consists of millions of tiny, scale-like lenses and LED screens. When powered on, a chameleon suit analyzes its environment and generates digital camouflage. The wearer gains a +10 competence bonus on Stealth checks and can hide in plain sight (as a ranger in his favored terrain).</p>
Armor	Light	Deep diving suit	26000 gp	3	5	-2	30	30	20	20	25	1 charge/hour	Craft DC 26; Cost 13,000 gp, craft technological arms and armor, production lab	<p>A deep diving suit is a body-tight mesh of reinforced rubber and polymer fitted with scrubbers that can draw and purify oxygen from its surrounding environment, extracting oxygen from water as easily as from air. The suit's helmet is close-fitting but offers excellent visibility, while the suit's fabric itself can flex while still remaining supportive against pressure—depths are treated as being 1,000 feet shallower than their actual depth for the purposes of determining pressure damage from deep water. The wearer is also immune to inhaled toxins and can breathe underwater with ease—the suit does not allow breathing in a vacuum.</p><p>A diving suit's hands and feet can activate webbing, long fins, and flippers, which the wearer can extend (and deactivate) as a move action. While in this mode, the wearer of the suit gains a swim speed of 20 feet and a +8 bonus on Swim checks, but the armor check penalty of the suit doubles to -4 and its land speed reduces to 20 feet (or 15 feet for slower characters, as appropriate). Swim checks are never penalized by a diving suit's armor check penalty.</p>
Armor	Light	Gravity suit	40000 gp	Varies	8	0	5	30	20	5	24	1 charge/hour	Craft DC 33; Cost 20,000 gp, craft technological arms and armor, graviton lab	<p>A gravity suit consists of several black, flexible straps attached to a framework of delicate servos, thin plates, and small strips of black polymer plastic—this give it an appearance of being ineffective armor. The armor bonus provided by an unpowered gravity suit is +0, but when activated, the suit generates a field of gravitons around the wearer that grants a +5 armor bonus (this bonus is a force effect). This bonus is doubled when it applies to the wearer's CMD score against bull rush, overrun, and trip attempts, and slows any fall as if the wearer were under the effect of a <i>feather fall</i> spell.</p><p>At the cost of 1 additional charge per minute, the wearer of a gravity suit can fly at a speed of 60 ft. (average). Activating this ability is a standard action.</p>
Armor	Light	Heavy weapon harness	9000 gp	1	6	-1	5	30	20	10	—	—	Craft DC 27; Cost 4,500 gp, craft technological arms and armor, military lab	"<p>Known also as an ""H-belt,"" a heavy weapon harness is an elaborate network of plastic and metal struts and straps. The harness can be worn in conjunction with any other suit of armor—the armor bonus granted by the heavy weapon harness does not stack with that granted by other suits of armor, but the armor check penalties and spell failure percentages do.</p><p>A heavy weapon harness provides its wearer with additional stability and support, allowing the user to wield heavy weapons as if they were regular firearms, using the Exotic Weapon (firearms) feat for proficiency rather than Exotic Weapon (heavy weaponry). A character with Exotic Weapon (heavy weaponry) who wears an H-belt finds the use of heavy weapons even easier, and gains a +1 circumstance bonus on all attack rolls made with harnessed heavy weapons.</p><p>Unlike most technological armors, a heavy weapon harness does not use power—its components are purely mechanical.</p>"
Armor	Light	Inssuit	19250 gp	3	6	0	15	30	20	10	—	—	Craft DC 24; Cost 9,625 gp, craft technological arms and armor, military lab	<p>This padded jumpsuit is made of resilient polymers interwoven with superconducting thread. It provides modest protection from conventional and energy weapons. The wearer applies the armor's AC bonus (including enhancement bonus, if any) against touch and ranged touch attacks that deal energy damage. In addition, the inssuit provides resist energy 5 against cold, acid, and electricity.</p>
Armor	Light	Scatterlight suit (black)	150 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 25; Cost 75 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +2</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (blue)	3600 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 30; Cost 1800 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +7</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (brown)	100 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 24; Cost 50 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +1</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (gray)	700 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 27; Cost 350 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +4</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (green)	1000 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 28; Cost 500 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +5</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
