Name	Prerequisites	Effect 1	Effect 2	Benefit	Normal	Special
Craft Cybernetics	Technologist, Heal 9 ranks, Knowledge (engineering) 9 ranks	Create and install cybertech	You can build cyberware and install it in a creature's body.	<p>You can create cybernetic items. Creating a cybernetic item takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High-Tech Items for more information.</p> <p>You can repair a broken cybernetic item if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch.</p> <p>You can also install a cybernetic item in a creature's body. See the Cybertech section for more information on installing cyberware.</p>		
Craft Pharmaceutical	Technologist, Heal 9 ranks, Knowledge (nature) 9 ranks	Create pharmaceutical items	You can craft pharmaceuticals.	<p>You can create any pharmaceutical or poison. Creating a pharmaceutical takes 2 hours if its base price is 250 gp or less; otherwise, the creation of the pharmaceutical takes 1 day for every 1,000 gp in its price. To create the pharmaceutical or poison, you must use up raw materials costing half of this total price. See Crafting High-Tech Items for more information.</p>		
Craft Technological Arms and Armor	Technologist, Craft (mechanical) 7 ranks, Knowledge (engineering) 7 ranks	Create technological weapons and armor	You can build technological weapons and armor	<p>You can create technological weapons or armor. Creating a technological weapon or suit of armor takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High-Tech Items for more information.</p> <p>You can also repair a broken technological weapon or suit of armor if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch.</p>		
Craft Technological Item	Technologist, Craft (mechanical) 5, Knowledge (engineering) 5 ranks	Create technological items	You can craft technological gear and items.	<p>You can create technological gear. Creating a piece of technological gear takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High-Tech Items for more information.</p> <p>You can also repair a broken technological item if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch.</p>		
Robot's Bane	Knowledge (engineering) 5 ranks	Gain offensive and defensive bonuses against robots	You have trained to avoid the attacks and effects employed by robots and technology and to combat them effectively.	<p>You gain a +1 bonus on attack and damage rolls against creatures with the robot subtype. Additionally, you gain a +1 dodge bonus to your AC and a +1 bonus on saving throws against attacks and effects from robots. If you have at least 11 ranks in Knowledge (engineering), these bonuses increase to +2. If you have at least 17 ranks in Knowledge (engineering), these bonuses increase to +3.</p>		If you have constructs as a favored enemy, you can use your favored enemy bonus toward constructs in place of the bonus granted by this feat if it's larger. These bonuses do not stack with those granted by other abilities that allow you to add your favored enemy bonus to AC or on saving throws.</p>
Scavenger's Luck	Knowledge (engineering) 1 rank	When using timeworn technology, roll twice to determine the glitch effect	You coax better behavior out of timeworn technology.	<p>When your check for using a piece of timeworn technology results in a glitch, you can roll again. You must choose to reroll before determining the specific glitch, and must take the second result, even if it's worse. When you use timeworn technology, it doesn't automatically glitch on a natural 1.</p>		
Technologist	—	Can use skills with technological subjects	You are familiar with the basic mechanics of technology.	<p>You are considered to be trained in any skill used against a technology-based subject. If the skill in question requires training to use even against non-technological subjects, you must still have ranks in that skill in order to gain the benefit of Technologist.</p>	You treat all skill checks made against technology as if they were untrained skill checks. This may mean that you cannot attempt certain skill checks, even if you possess ranks in the skill in question.</p>	
Technology Adept	Dex 13, Exotic Weapon Proficiency (firearms), Point-Blank Shot	Gain a bonus on save DCs to resist the effects of technological firearms	You utilize high-tech firearms to maximum effect.	<p>When you attack with a technological firearm that consumes charges, the save DC of any effect caused by that firearm increases by 1. If your bonuses from Point-Blank Shot apply, it increases by 2 instead.</p>		
Technophobe	Improved Sunder	Gain a morale bonus when you destroy a robot or technological item	Smashing technological abominations brings you joy.	<p>When you reduce a robot to 0 hit points or destroy a technological item possessed by an enemy, you receive a +2 morale bonus on ability checks, attack rolls, saving throws, and skill checks for a number of rounds equal to your Wisdom bonus (minimum 1 round). You receive this bonus for destroying an unattended object so long as it was in the possession of an enemy within the last round.</p>		
Wrest Charge	Disable Device 5 ranks, Knowledge (engineering) 5 ranks	Jury-rig a depleted battery to hold 1 charge	You can extract a charge from otherwise depleted technology.	<p>With a successful DC 20 Disable Device check, you can jury-rig a depleted (but not destroyed) battery so it provides 1 more charge. Using this charge or failing your check by 5 or more permanently depletes the battery. </p> <p>You can attempt the same check to add 1 last charge to a discharged piece of timeworn technology. Regardless of the outcome, no other attempts can be made, even by another person. Using this feat takes 1 minute. You can attempt to wrest a charge as a move action by taking a -10 penalty on your check. This feat does not stack with the charge cycling deed.</p>		
